ID,City,Country,Date and Time (local time),Lat,Long,Max temp °C,Humidity %,Cloudiness %,Wind m/s,Sunrise Time (local time),Sunset Time (local time)
0,Zaouïat Cheikh,"MA, Morocco.",2023-09-03 09:19:14,32.6442,-5.9166,16.640000000000043,72,100,0.73,2023-09-03 06:59:37,2023-09-03 19:47:09
1,Kerrouchen,"MA, Morocco.",2023-09-03 09:19:16,32.8001,-5.322,14.850000000000023,65,100,0.45,2023-09-03 06:57:07,2023-09-03 19:44:54
2,Zagora,"MA, Morocco.",2023-09-03 09:19:19,30.328,-5.8371,24.400000000000034,36,97,4.01,2023-09-03 07:01:07,2023-09-03 19:45:01
3,El Marsa,"EH, Morocco.",2023-09-03 09:19:22,27.093,-13.4092,22.390000000000043,100,75,2.57,2023-09-03 07:33:49,2023-09-03 20:12:53
4,Tendrara,"MA, Morocco.",2023-09-03 09:19:24,33.0494,-2.0001,17.210000000000036,73,100,2.95,2023-09-03 06:43:37,2023-09-03 19:31:50
5,Arbaoua,"MA, Morocco.",2023-09-03 09:19:27,34.9082,-5.9375,21.03000000000003,68,61,3.23,2023-09-03 06:57:49,2023-09-03 19:49:07
6,Lqliaa,"MA, Morocco.",2023-09-03 09:19:29,30.2987,-9.462,20.110000000000014,94,40,0.0,2023-09-03 07:15:39,2023-09-03 19:59:29
7,El Hajeb,"MA, Morocco.",2023-09-03 09:19:32,33.6902,-5.3719,16.29000000000002,53,96,2.53,2023-09-03 06:56:35,2023-09-03 19:45:50
8,Tabounte,"MA, Morocco.",2023-09-03 09:19:35,30.8965,-6.9073,22.03000000000003,26,40,5.14,2023-09-03 07:04:58,2023-09-03 19:49:44
9,Aourir,"MA, Morocco.",2023-09-03 09:19:38,30.4981,-9.6711,20.370000000000005,73,97,3.59,2023-09-03 07:16:20,2023-09-03 20:00:28
10,Boumia,"MA, Morocco.",2023-09-03 09:19:40,32.7253,-5.1018,14.25,61,100,1.2,2023-09-03 06:56:18,2023-09-03 19:43:58
